prompt_template,prompt_description,retrieval_config,retrieval_description,generation_time_sec,queries_per_second,metric_answer_precision,metric_answer_recall,metric_faithfulness,metric_citation_rate,metric_answer_correctness
basic,Basic prompt,top_3,Top 3 documents,10.094335317611694,0.4953273140507277,0.17792293600151862,0.17792293600151862,0.8199334075142886,0.0,0.68
basic,Basic prompt,top_5,Top 5 documents,14.234867572784424,0.3512501942455353,0.16790642526954286,0.16790642526954286,0.8241088133140495,0.0,0.68
basic,Basic prompt,reranked_3,"Top 10, reranked, top 3 used",27.13730263710022,0.1842482308158494,0.18608680234284156,0.18608680234284156,0.7914278243255287,0.0,0.7200000000000001
instructional,Detailed instructions,top_3,Top 3 documents,14.066320896148682,0.3554589744478946,0.17792293600151862,0.17792293600151862,0.8199334075142886,0.0,0.68
instructional,Detailed instructions,top_5,Top 5 documents,15.124547004699707,0.33058841355356505,0.16790642526954286,0.16790642526954286,0.8241088133140495,0.0,0.68
instructional,Detailed instructions,reranked_3,"Top 10, reranked, top 3 used",16.036184310913086,0.3117948698430309,0.18608680234284156,0.18608680234284156,0.7914278243255287,0.0,0.7200000000000001
extractive,Extract answer,top_3,Top 3 documents,12.527841329574585,0.39911105740112274,0.17792293600151862,0.17792293600151862,0.8199334075142886,0.0,0.68
extractive,Extract answer,top_5,Top 5 documents,10.109211206436157,0.4945984308663654,0.16790642526954286,0.16790642526954286,0.8241088133140495,0.0,0.68
extractive,Extract answer,reranked_3,"Top 10, reranked, top 3 used",15.414486646652222,0.3243701924439968,0.18608680234284156,0.18608680234284156,0.7914278243255287,0.0,0.7200000000000001
citation,Request citations,top_3,Top 3 documents,16.166048049926758,0.30929018548987014,0.17792293600151862,0.17792293600151862,0.8199334075142886,0.0,0.68
citation,Request citations,top_5,Top 5 documents,9.292263984680176,0.5380820011402304,0.16790642526954286,0.16790642526954286,0.8241088133140495,0.0,0.68
citation,Request citations,reranked_3,"Top 10, reranked, top 3 used",14.511304378509521,0.34455896379685463,0.18608680234284156,0.18608680234284156,0.7914278243255287,0.0,0.7200000000000001
